country,gdp_per_capita,total_population,population_density,population_growth_rate
Afghanistan,573.0,38000000.0,58.3,2.31
Angola,3110.0,31800000.0,25.5,3.24
Albania,5210.0,2880000.0,105.0,-0.426
Andorra,46000.0,77100.0,164.0,0.179
United Arab Emirates,41400.0,9770000.0,117.0,1.44
Argentina,9740.0,44800000.0,16.4,0.993
Armenia,4730.0,2960000.0,104.0,0.203
Antigua and Barbuda,15400.0,97100.0,221.0,0.861
Australia,57200.0,25200000.0,3.28,1.52
Austria,50500.0,8960000.0,109.0,0.445
Azerbaijan,5900.0,10000000.0,122.0,0.847
Burundi,208.0,11500000.0,449.0,3.13
Belgium,47600.0,11500000.0,381.0,0.54
Benin,1260.0,11800000.0,105.0,2.72
Burkina Faso,822.0,20300000.0,74.3,2.84
Bangladesh,1290.0,163000000.0,1250.0,1.03
Bulgaria,9060.0,7000000.0,64.5,-0.704
Bahrain,20900.0,1640000.0,2160.0,4.47
Bahamas,28900.0,389000.0,38.9,0.994
Bosnia and Herzegovina,6310.0,3300000.0,64.7,-0.692
Belarus,6730.0,9450000.0,46.6,-0.695
Belize,4250.0,390000.0,17.1,1.88
Bolivia,2580.0,11500000.0,10.6,1.4
Brazil,11200.0,211000000.0,25.3,0.752
Barbados,16100.000000000002,287000.0,667.0,0.133
Brunei,32299.999999999996,433000.0,82.2,1.01
Bhutan,3260.0,763000.0,20.0,1.15
Botswana,8100.0,2300000.0,4.06,2.18
Central African Republic,384.0,4750000.0,7.62,1.67
Canada,52000.0,37400000.0,4.11,1.42
Switzerland,83100.0,8590000.0,217.0,0.713
Chile,15000.0,19000000.0,25.5,1.18
China,8240.0,1430000000.0,153.0,0.357
Cote d'Ivoire,1730.0,25700000.0,80.9,2.55
Cameroon,1520.0,25900000.0,54.7,2.58
"Congo, Dem. Rep.",424.0,86800000.0,38.3,3.19
"Congo, Rep.",2280.0,5380000.0,15.8,2.56
Colombia,7840.0,50300000.0,45.4,1.36
Comoros,1400.0,851000.0,457.0,2.21
Cape Verde,3910.0,550000.0,136.0,1.13
Costa Rica,10200.0,5050000.0,98.9,0.958
Cuba,6800.0,11300000.0,106.0,-0.0411
Cyprus,32500.0,1200000.0,130.0,0.78
Czech Republic,24300.0,10700000.0,138.0,0.394
Germany,47500.0,83500000.0,240.0,0.226
Dominica,6910.0,71800.0,95.7,0.254
Denmark,65900.0,5770000.0,136.0,0.358
Dominican Republic,8000.0,10700000.0,222.0,1.05
Algeria,4700.0,43100000.0,18.1,1.93
Ecuador,5090.0,17400000.0,70.0,1.68
Egypt,3010.0,100000000.0,101.0,1.98
Spain,33400.0,46700000.0,93.7,0.715
Estonia,20800.0,1330000.0,31.3,0.372
Ethiopia,603.0,112000000.0,112.0,2.58
Finland,49300.0,5530000.0,18.2,0.11
Fiji,4740.0,890000.0,48.7,0.729
France,44200.0,65099999.99999999,119.0,0.219
"Micronesia, Fed. Sts.",2730.0,114000.0,163.0,1.03
Gabon,9180.0,2170000.0,8.43,2.48
United Kingdom,43600.0,67500000.0,279.0,0.564
Georgia,4980.0,4000000.0,57.5,-0.172
Ghana,1880.0,30400000.0,134.0,2.16
Guinea,923.0,12800000.0,52.0,2.83
Gambia,815.0,2350000.0,232.0,2.92
Guinea-Bissau,620.0,1920000.0,68.3,2.46
Equatorial Guinea,9210.0,1360000.0,48.3,3.53
Greece,23500.0,10500000.0,81.3,-0.105
Grenada,9230.0,112000.0,329.0,0.495
Guatemala,3360.0,17600000.0,164.0,1.56
Guyana,6120.0,783000.0,3.98,0.483
"Hong Kong, China",37800.0,7440000.0,7080.0,0.754
Honduras,2240.0,9750000.0,87.1,1.64
Croatia,16500.0,4130000.0,73.8,-0.554
Haiti,1250.0,11300000.0,409.0,1.25
Hungary,17600.0,9680000.0,107.0,-0.0453
Indonesia,4450.0,271000000.0,149.0,1.1
India,2150.0,1370000000.0,460.0,1.01
Ireland,79600.0,4880000.0,70.9,1.37
Iran,5920.0,82900000.0,50.9,1.35
Iraq,5620.0,39300000.0,90.5,2.25
Iceland,51900.0,339000.0,3.38,2.2
Israel,35300.0,8520000.0,394.0,1.91
Italy,36000.0,60600000.0,206.0,-1.15
Jamaica,4870.0,2950000.0,272.0,0.456
Jordan,3330.0,10100000.0,114.0,1.36
Japan,49000.0,127000000.0,348.0,-0.209
Kazakhstan,11500.0,18600000.0,6.87,1.29
Kenya,1240.0,52600000.0,92.4,2.27
Kyrgyz Republic,1120.0,6420000.0,33.5,2.09
Cambodia,1270.0,16500000.0,93.4,1.45
Kiribati,1790.0,118000.0,145.0,1.51
St. Kitts and Nevis,17200.0,52800.0,203.0,0.752
South Korea,28700.0,51200000.0,527.0,0.198
Kuwait,32700.000000000004,4210000.0,236.0,1.67
Lao,1850.0,7170000.0,31.1,1.52
Lebanon,5790.0,6860000.0,670.0,-0.0539
Liberia,516.0,4940000.0,51.3,2.43
Libya,8120.0,6780000.0,3.85,1.47
St. Lucia,9350.0,183000.0,300.0,0.496
Sri Lanka,4010.0,21300000.0,340.0,0.612
Lesotho,1230.0,2130000.0,70.0,0.8
Lithuania,18600.0,2760000.0,44.0,-0.265
Luxembourg,111000.0,616000.0,238.0,1.96
Latvia,16700.0,1910000.0,30.7,-0.695
Morocco,3410.0,36500000.0,81.7,1.22
Monaco,209000.0,39000.0,26200.0,0.734
Moldova,3710.0,4040000.0,123.0,-1.67
Madagascar,492.0,27000000.0,46.4,2.66
Maldives,8480.0,531000.0,1770.0,2.91
Mexico,10300.0,128000000.0,65.6,1.09
Marshall Islands,3190.0,58800.0,327.0,0.647
North Macedonia,5630.0,2080000.0,82.6,0.024
Mali,792.0,19700000.0,16.1,3.0
Malta,29100.0,440000.0,1380.0,3.93
Myanmar,1650.0,54000000.0,82.7,0.626
Montenegro,8590.0,628000.0,46.7,-0.032
Mongolia,4350.0,3230000.0,2.08,1.72
Mozambique,589.0,30400000.0,38.6,2.91
Mauritania,1760.0,4530000.0,4.39,2.74
Mauritius,10900.0,1270000.0,625.0,0.0322
Malawi,537.0,18600000.0,198.0,2.64
Malaysia,12500.0,31900000.0,97.2,1.33
Namibia,5880.0,2490000.0,3.03,1.87
Niger,563.0,23300000.0,18.4,3.79
Nigeria,2370.0,201000000.0,221.0,2.56
Nicaragua,1780.0,6550000.0,54.4,1.23
Netherlands,55500.0,17100000.0,507.0,0.655
Norway,92100.0,5380000.0,14.7,0.675
Nepal,866.0,28600000.0,200.0,1.81
Nauru,9610.0,10800.0,538.0,0.802
New Zealand,38300.0,4780000.0,18.2,1.59
Oman,15100.0,4970000.0,16.1,2.97
Pakistan,1190.0,217000000.0,281.0,2.02
Panama,11900.0,4250000.0,57.1,1.65
Peru,6490.0,32500000.0,25.4,1.62
Philippines,3340.0,108000000.0,363.0,1.36
Palau,12100.0,18000.0,39.1,0.501
Papua New Guinea,2490.0,8780000.0,19.4,1.95
Poland,17400.0,37900000.0,124.0,-0.0244
Portugal,24700.0,10200000.0,112.0,0.0237
Paraguay,5280.0,7040000.0,17.7,1.27
Palestine,2950.0,4980000.0,827.0,2.51
Qatar,63300.0,2830000.0,244.0,1.8
Romania,12100.0,19400000.0,84.1,-0.527
Russia,12100.0,146000000.0,8.91,-0.0496
Rwanda,901.0,12600000.0,512.0,2.61
Saudi Arabia,20500.0,34300000.0,15.9,1.66
Sudan,2020.0,42800000.0,24.3,2.39
Senegal,1530.0,16300000.0,84.6,2.75
Singapore,59400.0,5800000.0,8290.0,1.14
Solomon Islands,1750.0,670000.0,23.9,2.57
Sierra Leone,489.0,7810000.0,108.0,2.11
El Salvador,3580.0,6450000.0,311.0,0.51
San Marino,50900.0,33900.0,564.0,0.237
Serbia,7230.0,8770000.0,100.0,-0.537
Sao Tome and Principe,1300.0,215000.0,224.0,1.89
Suriname,8340.0,581000.0,3.73,0.929
Slovak Republic,21000.0,5460000.0,113.0,0.135
Slovenia,27400.0,2080000.0,103.0,0.696
Sweden,58100.0,10000000.0,24.5,1.01
Eswatini,4820.0,1150000.0,66.8,1.04
Seychelles,14200.0,97700.0,212.0,0.888
Chad,814.0,15900000.0,12.7,2.99
Togo,697.0,8080000.0,149.0,2.42
Thailand,6510.0,69600000.0,136.0,0.284
Tajikistan,1120.0,9320000.0,66.6,2.39
Turkmenistan,8000.0,5940000.0,12.6,1.55
Timor-Leste,978.0,1290000.0,87.0,1.96
Tonga,4350.0,104000.0,145.0,1.25
Trinidad and Tobago,14900.0,1390000.0,272.0,0.368
Tunisia,4400.0,11700000.0,75.3,1.11
Turkey,15100.0,83400000.0,108.0,1.31
Tuvalu,3940.0,11700.0,389.0,1.3
Tanzania,985.0,58000000.0,65.5,2.96
Uganda,963.0,44300000.0,222.0,3.54
Ukraine,3220.0,44000000.0,75.9,-0.531
Uruguay,14300.0,3460000.0,19.8,0.36
United States,55900.0,329000000.0,36.0,0.455
Uzbekistan,2460.0,33000000.0,77.5,1.88
St. Vincent and the Grenadines,6860.0,111000.0,284.0,0.347
Vietnam,2080.0,96500000.0,311.0,0.954
Vanuatu,2870.0,300000.0,24.6,2.43
Samoa,3870.0,197000.0,69.6,0.491
South Africa,7350.0,58600000.0,48.3,1.32
Zambia,1650.0,17900000.0,24.0,2.89
Zimbabwe,1170.0,14600000.0,37.9,1.42
