country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7k,18.4k,22.1k,24.8k,25.4k,26.3k,26.4k,26.7k,27.3k,26.7k,26.1k,27.2k,27.2k,27k,28.4k,27k,25.5k,25.5k,27k,27k,27k,27.4k,27.4k,24.5k,23.5k,24.2k,23.8k,24.6k,24.6k,25.8k,26.2k,26.6k,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,343,333,357,365,406,412,488,543,529,576,588,584,574,571,571,565,573,549
Angola,,,,,,,,,,,,,,,,,,,,,3190,2950,2840,2860,2930,2920,2900,2920,2990,2890,2700,2640,2400,1770,1730,1930,2120,2210,2240,2210,2210,2220,2440,2430,2610,2900,3120,3420,3670,3570,3590,3580,3750,3800,3840,3750,3530,3410,3230,3110,2890
Albania,,,,,,,,,,,,,,,,,,,,,1990,2060,2080,2060,1990,1990,2060,2000,1940,2070,1840,1330,1240,1370,1490,1700,1870,1680,1840,2090,2240,2450,2570,2730,2890,3060,3260,3490,3780,3930,4090,4210,4280,4330,4410,4520,4680,4860,5070,5210,5060
Andorra,,,,,,,,,,,41.7k,41.4k,42.6k,43.7k,44.2k,42.7k,42.6k,42.5k,41.9k,40.6k,40.1k,38.5k,37.4k,36.4k,35.5k,34.7k,34.4k,34.8k,35.2k,35.5k,35.4k,34.9k,33.9k,32.4k,32.3k,32.6k,33.8k,36.9k,38.2k,39.6k,40.4k,42.4k,42.6k,44.3k,46k,46.9k,47.8k,47.6k,44.3k,41.7k,40.9k,41.2k,39.8k,39.1k,40.9k,42.2k,44.1k,44.4k,45.1k,46k,40.4k
United Arab Emirates,,,,,,,,,,,,,,,,104k,104k,109k,94.7k,103k,116k,113k,99.3k,89.7k,88.6k,80.9k,65k,63.4k,58.1k,61.6k,68.8k,65.5k,63.9k,61.1k,61.8k,62.7k,63.1k,64.9k,61.8k,60.3k,63.3k,60.9k,59.2k,60.4k,60.3k,56.1k,53.3k,47.3k,42.5k,36k,33.9k,34.6k,35.4k,37k,38.5k,40.2k,41k,41.5k,41.3k,41.4k,
Argentina,5640,5850,5710,5320,5770,6290,6150,6260,6460,6980,7080,7370,7370,7450,7740,7620,7350,7740,7290,7910,7910,7380,7210,7400,7400,6900,7210,7290,7100,6500,6250,6720,7160,7640,7990,7670,7990,8540,8770,8380,8220,7780,6850,7380,7960,8580,9170,9900,10.2k,9500,10.4k,10.9k,10.6k,10.8k,10.4k,10.6k,10.2k,10.4k,10k,9740,8690
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1600,948,885,956,1040,1120,1170,1270,1320,1400,1550,1760,2020,2240,2570,2930,3360,3630,3140,3220,3370,3600,3710,3820,3920,3920,4200,4410,4730,4360
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5k,10.5k,10.5k,10.5k,10.2k,10.5k,10.4k,10.1k,10.2k,10.3k,9850,9590,9750,10.1k,9900,9220,9560,9450,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,5200,5440,5880,6370,6620,6620,6970,7680,8270,9220,9840,10.3k,10.8k,11.1k,11.2k,11.1k,11.5k,12k,11.2k,11.7k,12.1k,12.4k,12.6k,13.1k,12.3k,12.3k,12.9k,13.4k,14.1k,15.7k,16.9k,16.6k,14.4k,13k,12.6k,12.9k,12.6k,13k,13.3k,13.9k,14.2k,15.1k,15.4k,12.9k
